"Name","Version","Purl","License"
"@babel/plugin-syntax-numeric-separator","7.10.4","pkg:npm/@babel/plugin-syntax-numeric-separator@7.10.4","MIT"
"@babel/plugin-syntax-object-rest-spread","7.8.3","pkg:npm/@babel/plugin-syntax-object-rest-spread@7.8.3","MIT"
"@babel/plugin-syntax-optional-catch-binding","7.8.3","pkg:npm/@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT"
"@babel/plugin-syntax-optional-chaining","7.8.3","pkg:npm/@babel/plugin-syntax-optional-chaining@7.8.3","MIT"
"@babel/plugin-syntax-private-property-in-object","7.14.5","pkg:npm/@babel/plugin-syntax-private-property-in-object@7.14.5","MIT"
"@babel/plugin-syntax-top-level-await","7.14.5","pkg:npm/@babel/plugin-syntax-top-level-await@7.14.5","MIT"
"@babel/plugin-syntax-typescript","7.27.1","pkg:npm/@babel/plugin-syntax-typescript@7.27.1","MIT"
"@babel/plugin-syntax-unicode-sets-regex","7.18.6","pkg:npm/@babel/plugin-syntax-unicode-sets-regex@7.18.6","MIT"
"@babel/plugin-transform-arrow-functions","7.27.1","pkg:npm/@babel/plugin-transform-arrow-functions@7.27.1","MIT"
"@babel/plugin-transform-async-generator-functions","7.28.0","pkg:npm/@babel/plugin-transform-async-generator-functions@7.28.0","MIT"
"@babel/plugin-transform-async-to-generator","7.27.1","pkg:npm/@babel/plugin-transform-async-to-generator@7.27.1","MIT"
"@babel/plugin-transform-block-scoped-functions","7.27.1","pkg:npm/@babel/plugin-transform-block-scoped-functions@7.27.1","MIT"
"@babel/plugin-transform-block-scoping","7.28.0","pkg:npm/@babel/plugin-transform-block-scoping@7.28.0","MIT"
"@babel/plugin-transform-classes","7.28.3","pkg:npm/@babel/plugin-transform-classes@7.28.3","MIT"
"@babel/plugin-transform-class-properties","7.27.1","pkg:npm/@babel/plugin-transform-class-properties@7.27.1","MIT"
"@babel/plugin-transform-class-static-block","7.28.3","pkg:npm/@babel/plugin-transform-class-static-block@7.28.3","MIT"
"@babel/plugin-transform-computed-properties","7.27.1","pkg:npm/@babel/plugin-transform-computed-properties@7.27.1","MIT"
"@babel/plugin-transform-destructuring","7.28.0","pkg:npm/@babel/plugin-transform-destructuring@7.28.0","MIT"
"@babel/plugin-transform-dotall-regex","7.27.1","pkg:npm/@babel/plugin-transform-dotall-regex@7.27.1","MIT"
"@babel/plugin-transform-duplicate-keys","7.27.1","pkg:npm/@babel/plugin-transform-duplicate-keys@7.27.1","MIT"
"@babel/plugin-transform-duplicate-named-capturing-groups-regex","7.27.1","pkg:npm/@babel/plugin-transform-duplicate-named-capturing-groups-regex@7.27.1","MIT"
"@babel/plugin-transform-dynamic-import","7.27.1","pkg:npm/@babel/plugin-transform-dynamic-import@7.27.1","MIT"
"@babel/plugin-transform-explicit-resource-management","7.28.0","pkg:npm/@babel/plugin-transform-explicit-resource-management@7.28.0","MIT"
"@babel/plugin-transform-exponentiation-operator","7.27.1","pkg:npm/@babel/plugin-transform-exponentiation-operator@7.27.1","MIT"
"@babel/plugin-transform-export-namespace-from","7.27.1","pkg:npm/@babel/plugin-transform-export-namespace-from@7.27.1","MIT"
"@babel/plugin-transform-flow-strip-types","7.27.1","pkg:npm/@babel/plugin-transform-flow-strip-types@7.27.1","MIT"
"@babel/plugin-transform-for-of","7.27.1","pkg:npm/@babel/plugin-transform-for-of@7.27.1","MIT"
"@babel/plugin-transform-function-name","7.27.1","pkg:npm/@babel/plugin-transform-function-name@7.27.1","MIT"
"@babel/plugin-transform-json-strings","7.27.1","pkg:npm/@babel/plugin-transform-json-strings@7.27.1","MIT"
"@babel/plugin-transform-literals","7.27.1","pkg:npm/@babel/plugin-transform-literals@7.27.1","MIT"
"@babel/plugin-transform-logical-assignment-operators","7.27.1","pkg:npm/@babel/plugin-transform-logical-assignment-operators@7.27.1","MIT"
"@babel/plugin-transform-member-expression-literals","7.27.1","pkg:npm/@babel/plugin-transform-member-expression-literals@7.27.1","MIT"
"@babel/plugin-transform-modules-amd","7.27.1","pkg:npm/@babel/plugin-transform-modules-amd@7.27.1","MIT"
"@babel/plugin-transform-modules-commonjs","7.27.1","pkg:npm/@babel/plugin-transform-modules-commonjs@7.27.1","MIT"
